Title,Brand,Category,Price ($),Rating,Stock,Thumbnail URL
Essence Mascara Lash Princess,Essence,beauty,9.99,2.56,99,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/thumbnail.webp
Eyeshadow Palette with Mirror,Glamour Beauty,beauty,19.99,2.86,34,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/thumbnail.webp
Powder Canister,Velvet Touch,beauty,14.99,4.64,89,https://cdn.dummyjson.com/product-images/beauty/powder-canister/thumbnail.webp
Red Lipstick,Chic Cosmetics,beauty,12.99,4.36,91,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/thumbnail.webp
Red Nail Polish,Nail Couture,beauty,8.99,4.32,79,https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/thumbnail.webp
Calvin Klein CK One,Calvin Klein,fragrances,49.99,4.37,29,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp
Chanel Coco Noir Eau De,Chanel,fragrances,129.99,4.26,58,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/thumbnail.webp
Dior J'adore,Dior,fragrances,89.99,3.8,98,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/thumbnail.webp
Dolce Shine Eau de,Dolce & Gabbana,fragrances,69.99,3.96,4,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/thumbnail.webp
Gucci Bloom Eau de,Gucci,fragrances,79.99,2.74,91,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/thumbnail.webp
Annibale Colombo Bed,Annibale Colombo,furniture,1899.99,4.77,88,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/thumbnail.webp
Annibale Colombo Sofa,Annibale Colombo,furniture,2499.99,3.92,60,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/thumbnail.webp
Bedside Table African Cherry,Furniture Co.,furniture,299.99,2.87,64,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/thumbnail.webp
Knoll Saarinen Executive Conference Chair,Knoll,furniture,499.99,4.88,26,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/thumbnail.webp
Wooden Bathroom Sink With Mirror,Bath Trends,furniture,799.99,3.59,7,https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/thumbnail.webp
Apple,N/A,groceries,1.99,4.19,8,https://cdn.dummyjson.com/product-images/groceries/apple/thumbnail.webp
Beef Steak,N/A,groceries,12.99,4.47,86,https://cdn.dummyjson.com/product-images/groceries/beef-steak/thumbnail.webp
Cat Food,N/A,groceries,8.99,3.13,46,https://cdn.dummyjson.com/product-images/groceries/cat-food/thumbnail.webp
Chicken Meat,N/A,groceries,9.99,3.19,97,https://cdn.dummyjson.com/product-images/groceries/chicken-meat/thumbnail.webp
Cooking Oil,N/A,groceries,4.99,4.8,10,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp
Cucumber,N/A,groceries,1.49,4.07,84,https://cdn.dummyjson.com/product-images/groceries/cucumber/thumbnail.webp
Dog Food,N/A,groceries,10.99,4.55,71,https://cdn.dummyjson.com/product-images/groceries/dog-food/thumbnail.webp
Eggs,N/A,groceries,2.99,2.53,9,https://cdn.dummyjson.com/product-images/groceries/eggs/thumbnail.webp
Fish Steak,N/A,groceries,14.99,3.78,74,https://cdn.dummyjson.com/product-images/groceries/fish-steak/thumbnail.webp
Green Bell Pepper,N/A,groceries,1.29,3.25,33,https://cdn.dummyjson.com/product-images/groceries/green-bell-pepper/thumbnail.webp
Green Chili Pepper,N/A,groceries,0.99,3.66,3,https://cdn.dummyjson.com/product-images/groceries/green-chili-pepper/thumbnail.webp
Honey Jar,N/A,groceries,6.99,3.97,34,https://cdn.dummyjson.com/product-images/groceries/honey-jar/thumbnail.webp
Ice Cream,N/A,groceries,5.49,3.39,27,https://cdn.dummyjson.com/product-images/groceries/ice-cream/thumbnail.webp
Juice,N/A,groceries,3.99,3.94,50,https://cdn.dummyjson.com/product-images/groceries/juice/thumbnail.webp
Kiwi,N/A,groceries,2.49,4.93,99,https://cdn.dummyjson.com/product-images/groceries/kiwi/thumbnail.webp
