Meal,Category,Cuisine,Instructions,Image,YouTube
Chicken Handi,Chicken,India,"Take a large pot or wok, big enough to cook all the chicken, and heat the oil in it. Once the oil is hot, add sliced onion and fry them until deep gol...",https://www.themealdb.com/images/media/meals/wyxwsp1486979827.jpg,https://www.youtube.com/watch?v=IO0issT0Rmc
Chicken Mandi,Chicken,India,"1. Clean and cut the chicken; marinate briefly with salt, turmeric and a little oil.
2. Rinse and soak basmati rice 20–30 minutes.
3. In a large pot...",https://www.themealdb.com/images/media/meals/er4d081765186828.jpg,
Sticky Chicken,Chicken,Australian,"step 1
Make 3 slashes on each of the drumsticks. Mix together the soy, honey, oil, tomato purée and mustard. Pour this mixture over the chicken and c...",https://www.themealdb.com/images/media/meals/cj56fs1762340001.jpg,https://www.youtube.com/watch?v=o8tz2BOltTg
Chicken Congee,Chicken,Chinese,"STEP 1 - MARINATING THE CHICKEN
In a bowl, add chicken, salt, white pepper, ginger juice and then mix it together well.
Set the chicken aside.
STEP...",https://www.themealdb.com/images/media/meals/1529446352.jpg,https://www.youtube.com/watch?v=kqEfk801E94
Chicken Karaage,Chicken,Japanese,"Add the ginger, garlic, soy sauce, sake and sugar to a bowl and whisk to combine. Add the chicken, then stir to coat evenly. Cover and refrigerate for...",https://www.themealdb.com/images/media/meals/tyywsw1505930373.jpg,https://www.youtube.com/watch?v=XivddFddthc
Chicken Marengo,Chicken,France,Heat the oil in a large flameproof casserole dish and stir-fry the mushrooms until they start to soften. Add the chicken legs and cook briefly on each...,https://www.themealdb.com/images/media/meals/qpxvuq1511798906.jpg,https://www.youtube.com/watch?v=U33HYUr-0Fw
Spanish Chicken,Chicken,Spanish,"step 1
Heat oven to 190C/170C fan/gas 5. Put all the ingredients into a large, wide ovenproof dish. Mix everything together with your hands and seaso...",https://www.themealdb.com/images/media/meals/pqulvm1763282839.jpg,https://www.youtube.com/watch?v=fKqSOn5NCrk
Tandoori chicken,Chicken,India,"Mix the lemon juice with the paprika and red onions in a large shallow dish. Slash each chicken thigh three times, then turn them in the juice and set...",https://www.themealdb.com/images/media/meals/qptpvt1487339892.jpg,https://www.youtube.com/watch?v=-CKvt1KNU74
Chicken Couscous,Chicken,Moroccan,Heat the olive oil in a large frying pan and cook the onion for 1-2 mins just until softened. Add the chicken and fry for 7-10 mins until cooked throu...,https://www.themealdb.com/images/media/meals/qxytrx1511304021.jpg,https://www.youtube.com/watch?v=GZQGy9oscVk
Kung Pao Chicken,Chicken,Chinese,"Combine the sake or rice wine, soy sauce, sesame oil and cornflour dissolved in water. Divide mixture in half.
In a glass dish or bowl, combine half ...",https://www.themealdb.com/images/media/meals/1525872624.jpg,https://www.youtube.com/watch?v=QqdcCHQlOe0
Chicken Basquaise,Chicken,France,Preheat the oven to 180°C/Gas mark 4. Have the chicken joints ready to cook. Heat the butter and 3 tbsp olive oil in a flameproof casserole or large f...,https://www.themealdb.com/images/media/meals/wruvqv1511880994.jpg,https://www.youtube.com/watch?v=emfm6TwsVhg
